Gene_name,Com_Genes_No
PARD6A,2959
MEIKIN,2959
ZKSCAN5,2961
ENSG00000256407,2960
RPL39L,2960
WSB2,2961
ENSG00000251012,2960
LMBRD2,2960
NPFFR1,2960
KIAA0408,2961
FASTKD2,2962
IFIT5,2958
SLC23A1,2961
CTSB,2961
HS6ST3,2961
MAGEE1,2959
HAUS8,2959
SLC35E2B,2961
FCGR2C,2961
RNF6,2958
ATG2B,2961
PTPN3,2962
SPRR5,2959
INAFM2,2960
CCAR1,2958
SUPT20H,2961
SMARCB1,2960
SNX1,2960
SMIM10L2A,2959
MTMR2,2960
CEP63,2960
KLHDC4,2960
B3GNT9,2961
ERF,2960
ZNF532,2960
ZYG11B,2961
SLC46A1,2962
ABCD1,2959
ISY1,2960
BEND2,2960
LYSMD4,2961
MBD1,2961
H2AC11,2959
LMO3,2962
GIMAP4,2962
ZNF331,2958
ENSG00000284691,2960
USP44,2959
FBLN1,2962
C5AR2,2959
SIN3B,2961
EPDR1,2961
EYA1,2960
WARS2,2959
ZAN,2960
MICOS10,2959
OR8H2,2962
ABHD16A,2960
FAM118B,2963
C9orf85,2959
GPKOW,2960
MROH2A,2962
HS3ST6,2961
NDRG4,2961
IGF2BP2,2961
IQCF3,2959
SH2D4A,2962
ADAMTS1,2959
RNF148,2959
SPATA45,2960
NUP35,2962
ORC4,2961
HAL,2961
PKMYT1,2960
RPS5,2960
CHRM5,2959
HPS3,2960
CSAG3,2958
SRMS,2961
FIBCD1,2960
RAP1GAP,2960
TTC8,2959
IL13RA2,2962
EZH1,2960
AP5Z1,2959
PLK4,2961
XAF1,2960
CMPK2,2960
PCOLCE2,2961
OR9G4,2961
EIF3F,2962
MRPL27,2960
BPIFA2,2962
CYP2R1,2960
BTN1A1,2961
SLC2A4RG,2960
HEY1,2961
ATP8B3,2961
ZNF786,2961
STIMATE-MUSTN1,2957
UTS2R,2960
ELF3,2961
FCGR1A,2959
CDY1,2960
PSMB8,2961
WWC1,2959
ENSG00000285655,2962
SLCO1A2,2960
TMC1,2960
GPR89B,2960
MIDEAS,2960
RNF26,2960
FAM210A,2958
FNBP4,2961
KCNT2,2959
WASH6P,2961
NTRK3,2960
H1-2,2960
SLC26A4,2960
GPRC6A,2961
PSCA,2961
PABPN1,2959
LY6G5B,2960
NUP42,2961
OR4M2,2959
OR8D4,2961
NEURL1,2959
OR2L5,2961
PPARA,2960
SNUPN,2962
RELA,2960
CYSRT1,2959
TRAT1,2959
HLTF,2960
CHCHD6,2960
PTBP3,2959
VPS26B,2959
TRBV7-4,2960
ACOT1,2959
CRACR2B,2961
ABCC8,2959
OR4N2,2962
ZNF248,2960
PANX1,2961
ANLN,2960
C1QTNF8,2961
CREM,2959
CD276,2959
CRTAP,2961
ETS1,2960
SPP1,2961
INF2,2961
RUBCNL,2961
SPATA19,2960
OR51D1,2959
ZNF485,2960
TAS2R4,2960
PTP4A1,2962
PARD3,2960
PCGF2,2960
BMP6,2960
ENSG00000286143,2958
HOOK3,2961
WFDC12,2959
COX11,2959
ERCC2,2961
TPD52,2960
CACNG2,2961
MIB1,2960
PTPRCAP,2960
NPIPB12,2960
TEN1,2959
SPEF2,2960
B4GALT7,2961
CGB3,2961
GPR84,2960
SHPK,2960
FUT4,2960
TRAV5,2959
PIP4K2A,2960
GCNA,2959
PEX11B,2961
SLC16A2,2960
FAM237A,2962
BTF3L4,2960
TIPRL,2960
ATP5IF1,2960
TLL1,2960
EBF4,2960
NR2F2,2961
KRTAP2-1,2960
DECR2,2959
ZBTB22,2959
CHEK1,2960
CCT4,2960
MED22,2960
TOGARAM2,2961
NKX6-3,2960
GPR31,2961
HIRIP3,2960
ENSG00000271949,2960
COMMD9,2961
SLC25A33,2961
HMGB1,2959
MMADHC,2959
HAT1,2960
SLC16A14,2960
SCAND1,2961
SESN1,2960
GXYLT2,2959
IGLJ4,2960
PNPO,2963
LIFR,2962
SNX4,2961
NYAP2,2960
CHCHD3,2960
PRR3,2960
HOXB2,2960
